"Issue Type","Issue Key","Summary","Description","Priority","Story Points","Sprint","Epic Name","Epic Link","Status","Labels","Labels","Labels"
"Story","TEX-03","TEX-03 API Gateway con Nginx como punto único de entrada","Como administrador de sistemas quiero un único punto de entrada que enrute al backend, al frontend y a los microservicios para simplificar el despliegue y la gestión de certificados.

CRITERIOS DE ACEPTACION

* CA-1: Dado el gateway en ejecución, cuando solicito una ruta de API, entonces Nginx la enruta al backend Django conservando cabeceras de origen.
* CA-2: Dado el gateway en ejecución, cuando solicito la raíz del sitio, entonces Nginx sirve la aplicación React compilada.
* CA-3: Dado una petición que atraviesa el gateway, cuando el backend registra la auditoría, entonces la IP de origen real se preserva y no se sustituye por la del proxy.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-03 del Product Backlog de TexCore","High","5","Sprint 0","","Infraestructura y DevOps","To Do","EP-00","RNF-04",""
"Story","TEX-04","TEX-04 Pipeline de CI con Quality Gates","Como desarrollador quiero que cada push ejecute análisis estático y pruebas automáticamente para impedir que código defectuoso alcance la rama principal.

CRITERIOS DE ACEPTACION

* CA-1: Dado un push a cualquier rama, cuando arranca el pipeline, entonces ejecuta en orden flake8, bandit y detect-secrets, y falla la ejecución si alguno reporta hallazgos.
* CA-2: Dado que el análisis estático pasa, cuando continúa el pipeline, entonces levanta una base de datos efímera y ejecuta la suite con pytest.
* CA-3: Dado que la cobertura resultante es inferior al 75 %, cuando finaliza la fase de pruebas, entonces el pipeline falla e impide la mezcla del código.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-04 del Product Backlog de TexCore","High","5","Sprint 0","","Infraestructura y DevOps","To Do","EP-00","RNF-04",""
"Story","TEX-05","TEX-05 Estructura base del repositorio y estándares de desarrollo","Como desarrollador quiero una estructura de proyecto documentada con estándares explícitos para que el código mantenga una organización coherente desde el inicio.

CRITERIOS DE ACEPTACION

* CA-1: Dado el repositorio inicializado, cuando reviso su estructura, entonces existen los módulos gestion, inventory, internal_api, frontend y los tres microservicios, cada uno con su propio conjunto de pruebas.
* CA-2: Dado un nuevo colaborador, cuando consulta la documentación de estándares, entonces encuentra la convención de nombres de pruebas ISTQB y las reglas de acceso a base de datos.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-05 del Product Backlog de TexCore","Medium","3","Sprint 0","","Infraestructura y DevOps","To Do","EP-00","RNF-04",""
"Story","TEX-06","TEX-06 Autenticación con JWT en cookies HttpOnly","Como usuario del sistema quiero iniciar sesión de forma segura para que mis credenciales y mi sesión no queden expuestas a robo desde el navegador.

CRITERIOS DE ACEPTACION

* CA-1: Dado un usuario con credenciales válidas, cuando inicia sesión, entonces el sistema emite un JWT almacenado en una cookie marcada HttpOnly, Secure y SameSite, y el token no resulta accesible desde JavaScript.
* CA-2: Dado una petición con un token expirado, cuando se consulta cualquier endpoint protegido, entonces el sistema responde 401 sin revelar detalle del error.
* CA-3: Dado una petición sin token, cuando se consulta un endpoint protegido, entonces el sistema responde 401.
* CA-4: Dado un usuario autenticado, cuando cierra sesión, entonces la cookie se invalida y el token deja de ser aceptado.

VERIFICACION

gestion/tests/test_cookie_jwt_auth.py — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RNF-01
Referencia: TEX-06 del Product Backlog de TexCore","High","8","Sprint 1","","Seguridad, RBAC y Auditoría","To Do","EP-01","RNF-01",""
"Story","TEX-07","TEX-07 Control de acceso basado en roles para los once roles","Como administrador de sistemas quiero que cada rol acceda únicamente a las funciones de su competencia para cumplir la segregación de funciones exigida por la organización.

CRITERIOS DE ACEPTACION

* CA-1: Dado el sistema inicializado, cuando se consultan los grupos de permisos, entonces existen los once roles: Operario, Jefe de Área, Jefe de Planta, Tintorero, Empaquetado, Despacho, Bodeguero, Vendedor, Ejecutivo, Administrador de Sede y Administrador de Sistemas.
* CA-2: Dado un usuario con rol Operario, cuando intenta acceder a un endpoint de administración, entonces el sistema responde 403.
* CA-3: Dado cualquier endpoint del sistema, cuando se audita su configuración de permisos, entonces el 100 % exige autenticación y declara explícitamente los roles autorizados, conforme a la métrica de RNF-01.
* CA-4: Dado la matriz completa de roles contra endpoints, cuando se ejecuta la prueba de autorización, entonces cada combinación rol–operación produce el resultado esperado (permitido o denegado).

VERIFICACION

inventory/tests/test_roles_rbac.py — técnica TD (Tabla de Decisión).

TRAZABILIDAD

Requisitos: RNF-02
Referencia: TEX-07 del Product Backlog de TexCore","High","8","Sprint 1","","Seguridad, RBAC y Auditoría","To Do","EP-01","RNF-02",""
"Story","TEX-08","TEX-08 Aislamiento multi-sede de la información","Como administrador de sede quiero que cada sede vea solo sus propios datos para evitar fugas de información entre plantas de la organización.

CRITERIOS DE ACEPTACION

* CA-1: Dado un usuario asignado a la sede A, cuando consulta cualquier listado operativo, entonces obtiene exclusivamente registros de la sede A.
* CA-2: Dado un usuario de la sede A, cuando solicita por identificador un registro de la sede B, entonces el sistema responde 404, sin confirmar la existencia del registro.
* CA-3: Dado un usuario con rol Administrador de Sistemas, cuando consulta un listado, entonces obtiene los registros de todas las sedes.

VERIFICACION

gestion/tests/test_cliente_sede_filtering.py — técnica EP.

TRAZABILIDAD

Requisitos: RNF-02
Referencia: TEX-08 del Product Backlog de TexCore","High","8","Sprint 1","","Seguridad, RBAC y Auditoría","To Do","EP-01","RNF-02",""
"Story","TEX-09","TEX-09 Registro de auditoría inmutable en operaciones críticas","Como auditor quiero que toda operación crítica quede registrada de forma inalterable para poder reconstruir qué ocurrió, cuándo y por obra de quién.

CRITERIOS DE ACEPTACION

* CA-1: Dado cualquier operación de creación, modificación o eliminación sobre una entidad auditable, cuando la operación se confirma, entonces se registra usuario, marca de tiempo, dirección IP de origen y valores anterior y posterior.
* CA-2: Dado un registro de auditoría existente, cuando se intenta modificarlo o eliminarlo, entonces la operación es rechazada.
* CA-3: Dado una petición que llega con la cabecera X-Forwarded-For manipulada, cuando el sistema extrae la IP de origen, entonces utiliza únicamente la cadena de proxies de confianza, descartando el valor suplantado.

VERIFICACION

gestion/tests/test_audit_middleware.py — técnicas EP, BVA, CB-D.

TRAZABILIDAD

Requisitos: RNF-01
Referencia: TEX-09 del Product Backlog de TexCore","High","5","Sprint 1","","Seguridad, RBAC y Auditoría","To Do","EP-01","RNF-01",""
"Story","TEX-10","TEX-10 Justificación obligatoria en modificación de datos maestros","Como auditor quiero que toda modificación de un dato maestro exija una justificación escrita para que el historial explique el porqué de cada cambio.

CRITERIOS DE ACEPTACION

* CA-1: Dado un cliente existente, cuando se actualiza sin adjuntar justificación, entonces el sistema rechaza la operación con error de validación.
* CA-2: Dado la creación de un cliente nuevo, cuando se envía sin justificación, entonces la operación se acepta, pues la exigencia aplica solo a modificaciones.
* CA-3: Dado una justificación de menos de 10 caracteres, cuando se envía la modificación, entonces el sistema la rechaza por longitud insuficiente.

VERIFICACION

gestion/tests/test_cliente_auditoria_justificacion.py — técnica CB-D.

TRAZABILIDAD

Requisitos: RNF-01
Referencia: TEX-10 del Product Backlog de TexCore","Medium","3","Sprint 1","","Seguridad, RBAC y Auditoría","To Do","EP-01","RNF-01",""
"Story","TEX-11","TEX-11 Creación de Órdenes de Producción","Como Jefe de Planta quiero crear órdenes de producción indicando producto, fórmula de color y meta de producción para planificar la carga de la planta.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Jefe de Planta, cuando creo una orden indicando producto, fórmula de color, peso neto requerido y área responsable, entonces la orden se registra en estado Pendiente.
* CA-2: Dado una orden sin producto o sin meta de producción, cuando intento guardarla, entonces el sistema la rechaza indicando los campos faltantes.
* CA-3: Dado mi rol de Operario, cuando intento crear una orden de producción, entonces el sistema responde 403.
* CA-4: Dado una orden creada con fórmula y bodega de químicos asociadas, cuando se confirma la creación, entonces el sistema ejecuta la descarga automática de químicos correspondiente.

VERIFICACION

gestion/tests/test_production_views.py, test_descarga_quimicos_tdd.py — técnicas TD, EP, CB-D.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-11 del Product Backlog de TexCore","High","5","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01",""
"Story","TEX-12","TEX-12 Registro de lote de producción en un solo paso","Como Operario quiero registrar la producción de un lote con un solo clic para no interrumpir la operación de la máquina.

CRITERIOS DE ACEPTACION

* CA-1: Dado una orden asignada a mi usuario en estado En Proceso, cuando registro peso, turno y horas y confirmo, entonces el sistema crea el lote con código trazable autogenerado y actualiza el inventario dentro de la misma transacción atómica.
* CA-2: Dado una orden sin máquina u operario asignado, cuando intento registrar un lote, entonces el sistema rechaza la operación, conforme a la regla de RF-01.
* CA-3: Dado que el registro alcanza o supera la meta de la orden, cuando se confirma el lote, entonces el sistema sugiere el cambio de estado a Finalizada.
* CA-4: Dado un fallo al actualizar el inventario, cuando se procesa el registro, entonces se revierte la transacción completa y no queda ningún lote huérfano.
* CA-5: Dado el flujo completo de registro, cuando se cuenta la interacción del operario, entonces no supera los tres pasos, conforme a la métrica de RNF-05.

VERIFICACION

gestion/tests/test_registro_lote_*.py — técnicas EP, BVA, STT.

TRAZABILIDAD

Requisitos: RF-01, RNF-05
Referencia: TEX-12 del Product Backlog de TexCore","High","5","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01","RNF-05"
"Story","TEX-13","TEX-13 Asignación de máquina y operario a una orden","Como Jefe de Área quiero asignar una máquina y un operario a cada orden para habilitarla para producción y distribuir la carga de mi área.

CRITERIOS DE ACEPTACION

* CA-1: Dado una orden en estado Pendiente de mi área, cuando le asigno máquina y operario, entonces la orden transita automáticamente a En Proceso.
* CA-2: Dado una orden perteneciente a otra área, cuando intento asignarle recursos, entonces el sistema responde 403.
* CA-3: Dado una máquina en estado de mantenimiento, cuando intento asignarla, entonces el sistema rechaza la asignación.

VERIFICACION

gestion/tests/test_production_views.py — técnicas TD, STT.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-13 del Product Backlog de TexCore","High","5","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01",""
"Story","TEX-14","TEX-14 Máquina de estados del ciclo de vida de la orden","Como Jefe de Planta quiero que las órdenes solo transiten entre estados válidos para que el avance reportado refleje la realidad de la planta.

CRITERIOS DE ACEPTACION

* CA-1: Dado una orden en estado Pendiente, cuando se le asignan recursos, entonces transita a En Proceso.
* CA-2: Dado una orden en estado Pendiente, cuando se intenta finalizarla directamente, entonces el sistema rechaza la transición por inválida.
* CA-3: Dado una orden en estado Finalizada, cuando se intenta registrar un lote sobre ella, entonces el sistema rechaza la operación.
* CA-4: Dado una orden en curso, cuando se pausa y luego se reanuda, entonces conserva el avance acumulado previamente.

VERIFICACION

gestion/tests/test_production_views.py — técnica STT (Transición de Estados).

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-14 del Product Backlog de TexCore","High","5","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01",""
"Story","TEX-15","TEX-15 Gestión de maquinaria del área","Como Jefe de Área quiero administrar las máquinas de mi área y su estado para reflejar su disponibilidad real al planificar.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Jefe de Área, cuando creo o edito una máquina, entonces queda registrada en mi área con estado Operativa, Mantenimiento o Inactiva.
* CA-2: Dado el panel de control de área, cuando lo consulto, entonces muestra la carga de trabajo actual de cada máquina frente a su capacidad máxima.

VERIFICACION

gestion/tests/test_production_views.py — técnicas EP, TD.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-15 del Product Backlog de TexCore","Medium","3","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01",""
"Story","TEX-16","TEX-16 Rechazo de lote con reversión de inventario","Como Jefe de Área quiero rechazar un lote defectuoso para que el inventario no contabilice producto que no cumple calidad.

CRITERIOS DE ACEPTACION

* CA-1: Dado un lote producido en mi área, cuando lo rechazo indicando motivo, entonces el sistema revierte todos los movimientos de inventario asociados, conforme a la regla de RF-01.
* CA-2: Dado un lote ya despachado, cuando intento rechazarlo, entonces el sistema impide la operación.
* CA-3: Dado un rechazo confirmado, cuando consulto la auditoría, entonces encuentro el registro con usuario, motivo y marca de tiempo.

VERIFICACION

gestion/tests/test_production_views.py — técnicas STT, CB-D.

TRAZABILIDAD

Requisitos: RF-01, RF-02
Referencia: TEX-16 del Product Backlog de TexCore","High","5","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01","RF-02"
"Story","TEX-17","TEX-17 Monitoreo del avance de planta","Como Jefe de Planta quiero ver el avance global de las órdenes con su detalle para detectar desviaciones sin recorrer la planta.

CRITERIOS DE ACEPTACION

* CA-1: Dado el panel de Jefe de Planta, cuando lo abro, entonces muestra todas las órdenes de mi sede con su estado y barra de progreso.
* CA-2: Dado el listado de órdenes, cuando selecciono una fila, entonces se abre un panel lateral con producto, fórmula, sede, área responsable, fechas y almacenes.
* CA-3: Dado una consulta del panel con la sede completa cargada, cuando se mide el tiempo de respuesta, entonces es inferior a 3 segundos, conforme a la métrica de RNF-03.

VERIFICACION

gestion/tests/test_produccion_kpi_service.py — técnica EP.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-17 del Product Backlog de TexCore","Medium","4","Sprint 2","","Producción y Órdenes de Producción","To Do","EP-02","RF-01",""
"Story","TEX-18","TEX-18 Kárdex transaccional con saldo en tiempo real","Como Bodeguero quiero que cada movimiento actualice el saldo al instante para que el inventario del sistema coincida con la bodega física.

CRITERIOS DE ACEPTACION

* CA-1: Dado un producto con saldo conocido, cuando registro una entrada, entonces el saldo se incrementa en la cantidad exacta dentro de la misma transacción.
* CA-2: Dado un producto con saldo conocido, cuando registro una salida, entonces el saldo se decrementa y queda asentado el saldo resultante en el kárdex.
* CA-3: Dado dos movimientos simultáneos sobre el mismo producto, cuando se procesan concurrentemente, entonces el bloqueo a nivel de fila impide condiciones de carrera y el saldo final es consistente.
* CA-4: Dado un producto de tipo tela, cuando registro una cantidad en metros, entonces se almacena con precisión decimal de cuatro posiciones sin pérdida por redondeo.

VERIFICACION

inventory/tests/test_views_endpoints.py — técnicas EP, BVA, CB-D.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-18 del Product Backlog de TexCore","High","8","Sprint 3","","Kárdex de Inventario","To Do","EP-03","RF-02",""
"Story","TEX-19","TEX-19 Entrada de materia prima con trazabilidad de lote","Como Bodeguero quiero registrar la recepción de materia prima identificando su lote de origen para poder rastrear el material hasta el producto terminado.

CRITERIOS DE ACEPTACION

* CA-1: Dado una recepción de proveedor, cuando registro producto, cantidad, bodega y documento de referencia, entonces se crea el lote de materia prima con su saldo disponible.
* CA-2: Dado un lote de materia prima consumido en producción, cuando consulto su trazabilidad, entonces obtengo las órdenes de producción que lo consumieron.
* CA-3: Dado una entrada sin documento de referencia, cuando intento guardarla, entonces el sistema la rechaza.

VERIFICACION

gestion/tests/test_materia_prima_f0_001.py — técnicas EP, BVA, STT.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-19 del Product Backlog de TexCore","High","5","Sprint 3","","Kárdex de Inventario","To Do","EP-03","RF-02",""
"Story","TEX-20","TEX-20 Transferencia de existencias entre bodegas","Como Bodeguero quiero transferir producto entre bodegas para reubicar existencias sin alterar el inventario total.

CRITERIOS DE ACEPTACION

* CA-1: Dado stock suficiente en la bodega de origen, cuando transfiero una cantidad a la bodega de destino, entonces el origen se decrementa y el destino se incrementa en la misma transacción, y el inventario total permanece invariable.
* CA-2: Dado una cantidad superior al saldo de origen, cuando intento transferir, entonces el sistema rechaza la operación.
* CA-3: Dado una transferencia con bodega de origen igual a la de destino, cuando intento guardarla, entonces el sistema la rechaza por inválida.
* CA-4: Dado una transferencia de cantidad cero o negativa, cuando se envía, entonces el serializador la rechaza.

VERIFICACION

inventory/tests/test_serializers.py, test_views_endpoints.py — técnicas BVA, EP.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-20 del Product Backlog de TexCore","High","5","Sprint 3","","Kárdex de Inventario","To Do","EP-03","RF-02",""
"Story","TEX-21","TEX-21 Edición auditada de movimientos de inventario","Como Bodeguero quiero corregir un movimiento mal registrado dejando constancia para que el ajuste sea rastreable y no una alteración silenciosa.

CRITERIOS DE ACEPTACION

* CA-1: Dado un movimiento existente, cuando lo edito aportando una razón de al menos 10 caracteres, entonces el sistema recalcula el saldo y registra el cambio en la auditoría.
* CA-2: Dado una edición sin razón o con razón menor a 10 caracteres, cuando la envío, entonces el sistema la rechaza.
* CA-3: Dado una edición que dejaría el saldo en negativo, cuando la confirmo, entonces el sistema la rechaza, conforme a la regla de RF-02.

VERIFICACION

inventory/tests/test_movimiento_views.py — técnicas EP, BVA, CB-D.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-21 del Product Backlog de TexCore","High","5","Sprint 3","","Kárdex de Inventario","To Do","EP-03","RF-02",""
"Story","TEX-22","TEX-22 Consulta y exportación del kárdex","Como Bodeguero quiero consultar el histórico de movimientos de un producto y exportarlo para conciliar con los registros físicos de bodega.

CRITERIOS DE ACEPTACION

* CA-1: Dado un producto con movimientos, cuando consulto su kárdex filtrando por rango de fechas, entonces obtengo los movimientos en orden cronológico con el saldo resultante de cada uno.
* CA-2: Dado un kárdex en pantalla, cuando solicito la exportación, entonces recibo un archivo descargable con las mismas filas mostradas.
* CA-3: Dado una consulta de kárdex, cuando se mide el tiempo de respuesta, entonces es inferior a 3 segundos, conforme a RNF-03.

VERIFICACION

inventory/tests/test_views_endpoints.py — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-22 del Product Backlog de TexCore","Medium","5","Sprint 3","","Kárdex de Inventario","To Do","EP-03","RF-02",""
"Story","TEX-23","TEX-23 Filtrado de bodegas por rol y sede","Como administrador de sistemas quiero que cada usuario vea solo las bodegas que le competen para mantener la segregación de funciones en el inventario.

CRITERIOS DE ACEPTACION

* CA-1: Dado un usuario de una sede, cuando lista bodegas, entonces obtiene únicamente las de su sede.
* CA-2: Dado un rol sin permiso de escritura en inventario, cuando intenta crear o modificar una bodega, entonces el sistema responde 403.

VERIFICACION

gestion/tests/test_inventory_views.py — técnicas TD, EP, CB-D.

TRAZABILIDAD

Requisitos: RNF-02
Referencia: TEX-23 del Product Backlog de TexCore","High","4","Sprint 3","","Kárdex de Inventario","To Do","EP-03","RNF-02",""
"Story","TEX-24","TEX-24 Transformación de productos con cálculo de merma","Como Jefe de Área quiero registrar la transformación de un producto en otro indicando pesos de entrada y salida para que la merma quede cuantificada por etapa.

CRITERIOS DE ACEPTACION

* CA-1: Dado una orden en curso en mi área, cuando registro una transformación con producto de salida, máquina, peso de entrada y peso de salida, entonces el sistema calcula la merma automáticamente como diferencia entre ambos pesos.
* CA-2: Dado una cadena de transformaciones, cuando registro una nueva etapa, entonces el sistema exige que el producto de entrada coincida con el producto de salida de la etapa anterior.
* CA-3: Dado un peso de salida mayor al de entrada, cuando intento registrarlo, entonces el sistema rechaza la operación por merma negativa.
* CA-4: Dado una orden de otra área o sede, cuando intento registrar una transformación sobre ella, entonces el sistema responde 403.

VERIFICACION

gestion/tests/test_production_views.py — técnicas BVA, TD, CB-D.

TRAZABILIDAD

Requisitos: RF-01, RF-02
Referencia: TEX-24 del Product Backlog de TexCore","High","8","Sprint 4","","Transformación y MRP","To Do","EP-04","RF-01","RF-02"
"Story","TEX-25","TEX-25 Bloqueo de saldos negativos de inventario","Como Bodeguero quiero que el sistema impida dejar cualquier saldo en negativo para garantizar que el inventario digital sea siempre físicamente posible.

CRITERIOS DE ACEPTACION

* CA-1: Dado un producto con saldo de 100 unidades, cuando intento una salida de 101, entonces el sistema rechaza la operación, conforme a la regla de RF-02.
* CA-2: Dado un producto con saldo de 100 unidades, cuando registro una salida de exactamente 100, entonces la operación se acepta y el saldo queda en cero.
* CA-3: Dado un consumo de producción que excede el stock disponible, cuando se procesa, entonces la transacción completa se revierte sin consumo parcial.

VERIFICACION

gestion/tests/test_descarga_quimicos_stock_p0.py, test_consumo_mezcla_service.py — técnicas BVA, EP.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-25 del Product Backlog de TexCore","High","5","Sprint 4","","Transformación y MRP","To Do","EP-04","RF-02",""
"Story","TEX-26","TEX-26 Alertas de stock bajo","Como Bodeguero quiero recibir aviso cuando un insumo cae bajo su mínimo para reponerlo antes de que detenga la producción.

CRITERIOS DE ACEPTACION

* CA-1: Dado un producto con stock mínimo configurado, cuando su saldo cae por debajo de ese umbral, entonces aparece en el panel de alertas de stock bajo.
* CA-2: Dado un producto exactamente en su stock mínimo, cuando se evalúan las alertas, entonces no se genera alerta, pues la condición es estrictamente menor.
* CA-3: Dado un Jefe de Área, cuando consulta sus alertas, entonces ve únicamente los insumos críticos de su propia área.

VERIFICACION

inventory/tests/test_views_endpoints.py — técnicas BVA, EP.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-26 del Product Backlog de TexCore","High","5","Sprint 4","","Transformación y MRP","To Do","EP-04","RF-02",""
"Story","TEX-27","TEX-27 Motor MRP de cálculo de requerimientos","Como Bodeguero quiero conocer qué materiales faltan para cubrir las órdenes abiertas para anticipar las compras necesarias.

CRITERIOS DE ACEPTACION

* CA-1: Dado un conjunto de órdenes de producción abiertas, cuando ejecuto el cálculo MRP, entonces el sistema explosiona los materiales requeridos por sus fórmulas y los contrasta con el stock disponible.
* CA-2: Dado un material cuyo requerimiento excede el stock, cuando se genera el resultado, entonces aparece una sugerencia de compra por la cantidad faltante.
* CA-3: Dado un material con stock suficiente, cuando se genera el resultado, entonces no produce sugerencia de compra.
* CA-4: Dado el mismo cálculo ejecutado por un Bodeguero y por un Ejecutivo, cuando se comparan los resultados, entonces son idénticos, por compartir ambos el mismo motor.

VERIFICACION

inventory/tests/test_mrp.py — técnica EP.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-27 del Product Backlog de TexCore","High","8","Sprint 4","","Transformación y MRP","To Do","EP-04","RF-02",""
"Story","TEX-28","TEX-28 Consulta de requisitos de materiales de una orden","Como Jefe de Planta quiero ver los materiales que consumirá una orden antes de iniciarla para confirmar que la planta puede ejecutarla.

CRITERIOS DE ACEPTACION

* CA-1: Dado una orden con fórmula asociada, cuando consulto sus requisitos de materiales, entonces obtengo el listado de hilos base y químicos con la cantidad necesaria.
* CA-2: Dado un material con stock insuficiente para la orden, cuando consulto los requisitos, entonces aparece señalizado como faltante.

VERIFICACION

gestion/tests/test_production_views.py — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-28 del Product Backlog de TexCore","Medium","3","Sprint 4","","Transformación y MRP","To Do","EP-04","RF-01",""
"Story","TEX-29","TEX-29 Registro de merma vendible","Como Bodeguero quiero que la merma aprovechable ingrese al inventario como producto vendible para no perder el valor del subproducto.

CRITERIOS DE ACEPTACION

* CA-1: Dado una merma clasificada como vendible, cuando se registra, entonces ingresa al inventario como producto disponible para venta.
* CA-2: Dado una merma clasificada como no aprovechable, cuando se registra, entonces se contabiliza como pérdida sin afectar el stock vendible.

VERIFICACION

gestion/tests/test_merma_stock_service.py — técnica EP.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-29 del Product Backlog de TexCore","Low","3","Sprint 4","","Transformación y MRP","To Do","EP-04","RF-02",""
